temperature,humidity,visibility,pressure,windSpeed,cloudCover,precipIntensity,dewPoint,precipProbability,day,weekday,weekofyear,hour,month_11,month_12,Dishwasher_predicted,Home office_predicted,Fridge_predicted,Wine cellar_predicted,Garage door_predicted,Barn_predicted,Well_predicted,Microwave_predicted,Living room_predicted,Furnace_predicted,Kitchen_predicted
53.38733333333333,0.41133333333333333,10,1017.1793333333334,8.725999999999999,0.096666667,0,30.267333333333333,0,1,6,44,0,TRUE,FALSE,1.388107396,9.07683937,3.503995902,1.479393522,0.892971549,1.537209155,1.198374702,0.433316227,0.00545473,15.73519022,1.226264097
55.973166666666664,0.3641666666666667,9.979333333333333,1016.0229999999999,8.167833333333332,0.07,0,29.473166666666664,0,1,6,44,1,TRUE,FALSE,2.905533057,12.82760582,3.516764395,1.053525533,0.87284628,1.850604892,0.913830934,0.528194322,1.814937515,11.17707987,0.553148445
58.00366666666666,0.3173333333333333,9.982666666666667,1015.2296666666666,8.084666666666667,0.047333333,0,28.092,0,1,6,44,2,TRUE,FALSE,4.142510542,11.45831852,3.509539434,1.131361439,0.892364729,2.396925112,1.060732761,0.55140345,1.029271456,6.52519144,0.658922651
58.72233333333333,0.29383333333333334,10,1014.9753333333334,8.254,0.0115,0,26.977333333333334,0,1,6,44,3,TRUE,FALSE,4.691694016,6.29742437,3.208227143,0.810170728,0.904636692,2.802802959,1.084956186,0.335817738,0.284494401,7.716077845,0.441777794
57.303333333333335,0.31,10,1015.0666666666667,7.28,0,0,26.69333333333333,0,1,6,44,4,TRUE,FALSE,3.671118015,4.367787642,3.246259844,1.14029282,0.858147206,3.046396305,0.670942306,0.698510102,1.385366923,9.052824284,0.230489177
52.361666666666665,0.3845,10,1015.378,5.136,0,0,27.372166666666665,0,1,6,44,5,TRUE,FALSE,2.22521236,3.685708957,3.145304486,1.250272794,0.874776272,2.633005716,0.385600742,0.862658374,0.362746035,9.491454056,0.935276912
46.24333333333333,0.5096666666666667,10,1015.7636666666666,4.114333333333334,0,0,28.726333333333333,0,1,6,44,6,TRUE,FALSE,1.945127212,3.638959636,2.94210484,1.380215336,0.844847882,2.759837016,0.124383242,0.698155291,-0.1573112,9.466255739,0.91826073
41.999,0.589,10,1015.8663333333334,4.767666666666667,0,0,28.488333333333333,0,1,6,44,7,TRUE,FALSE,1.9675169,4.01934875,2.81202842,1.355531546,0.855280215,3.652097272,0.181860434,0.343209594,-0.3253564,9.739560475,0.764568222
39.755333333333326,0.626,10,1015.8006666666666,3.4233333333333333,0,0,28.013333333333332,0,1,6,44,8,TRUE,FALSE,1.601637845,4.503642047,2.724920723,1.081890316,0.86215727,4.412514108,0.017411531,0.313202555,-0.3088593,10.71173752,0.751861047
38.14416666666667,0.6575000000000001,9.963333333333335,1015.7075000000001,4.491666666666666,0,0,27.776666666666667,0,1,6,44,9,TRUE,FALSE,1.01518368,4.125155816,2.699941135,1.257831756,0.84774104,4.744348788,0.187673982,0.308990502,-0.8904983,12.56821096,0.733068601
